Time	UTC	GPS_lat(deg)	GPS_long(deg)	FINKEN_ACTUATORS_MODEL:thrust	ROTORCRAFT_STATUS:vsupply	FINKEN_SENSOR_MODEL:pos_z
82.155	16:59:9.390	43.462229950	1.272889989	0.242105	125	0.242188
82.405	16:59:9.640	43.462229950	1.272889989	0.242105	125	0.246094
82.655	16:59:9.890	43.462229950	1.272889989	0.242105	125	0.246094
82.905	16:59:10.140	43.462229950	1.272889989	0.242105	125	0.246094
83.155	16:59:10.390	43.462229950	1.272889989	0.242105	125	0.242188
83.405	16:59:10.640	43.462229950	1.272889989	0.242105	125	0.242188
83.655	16:59:10.890	43.462229950	1.272889989	0.242105	125	0.242188
83.905	16:59:11.140	43.462229950	1.272889989	0.242105	125	0.246094
84.155	16:59:11.390	43.462229950	1.272889989	0.242105	125	0.246094
84.405	16:59:11.640	43.462229950	1.272889989	0.242105	125	0.246094
84.655	16:59:11.890	43.462229950	1.272889989	0.242105	125	0.242188
84.905	16:59:12.140	43.462229950	1.272889989	0.242105	125	0.242188
85.155	16:59:12.390	43.462229950	1.272889989	0.242105	125	0.242188
85.405	16:59:12.640	43.462229950	1.272889989	0.242105	125	0.242188
85.655	16:59:12.890	43.462229950	1.272889989	0.242105	125	0.242188
85.905	16:59:13.140	43.462229950	1.272889989	0.242105	125	0.242188
86.155	16:59:13.390	43.462229950	1.272889989	0.242105	125	0.242188
86.405	16:59:13.640	43.462229950	1.272889989	0.242105	125	0.242188
86.655	16:59:13.890	43.462229950	1.272889989	0.242105	125	0.242188
86.905	16:59:14.140	43.462229950	1.272889989	0.242105	125	0.242188
87.155	16:59:14.390	43.462229950	1.272889989	0.242105	125	0.242188
87.405	16:59:14.640	43.462229950	1.272889989	0.242105	125	0.242188
87.655	16:59:14.890	43.462229950	1.272889989	0.242105	125	0.242188
87.905	16:59:15.140	43.462229950	1.272889989	0.242105	125	0.242188
88.155	16:59:15.390	43.462229950	1.272889989	0.242105	125	0.242188
88.405	16:59:15.640	43.462229950	1.272889989	0.242105	125	0.242188
88.655	16:59:15.890	43.462229950	1.272889989	0.242105	125	0.242188
88.905	16:59:16.140	43.462229950	1.272889989	0.242105	125	0.242188
89.155	16:59:16.390	43.462229950	1.272889989	0.242105	125	0.242188
89.405	16:59:16.640	43.462229950	1.272889989	0.242105	125	0.242188
89.655	16:59:16.890	43.462229950	1.272889989	0.242105	125	0.242188
89.905	16:59:17.140	43.462229950	1.272889989	0.242105	125	0.242188
90.155	16:59:17.390	43.462229950	1.272889989	0.242105	125	0.242188
90.405	16:59:17.640	43.462229950	1.272889989	0.242105	125	0.242188
90.655	16:59:17.890	43.462229950	1.272889989	0.242105	125	0.242188
90.905	16:59:18.140	43.462229950	1.272889989	0.242105	125	0.242188
91.155	16:59:18.390	43.462229950	1.272889989	0.242105	125	0.242188
91.405	16:59:18.640	43.462229950	1.272889989	0.242105	125	0.242188
91.655	16:59:18.890	43.462229950	1.272889989	0.242105	125	0.242188
91.905	16:59:19.140	43.462229950	1.272889989	0.242105	125	0.242188
92.155	16:59:19.390	43.462229950	1.272889989	0.242105	125	0.242188
92.405	16:59:19.640	43.462229950	1.272889989	0.242105	125	0.242188
92.655	16:59:19.890	43.462229950	1.272889989	0.242105	125	0.242188
92.905	16:59:20.140	43.462229950	1.272889989	0.242105	125	0.242188
93.155	16:59:20.390	43.462229950	1.272889989	0.242105	125	0.242188
93.405	16:59:20.640	43.462229950	1.272889989	0.242105	125	0.242188
93.655	16:59:20.890	43.462229950	1.272889989	0.242105	125	0.242188
93.905	16:59:21.140	43.462229950	1.272889989	0.242105	125	0.242188
94.155	16:59:21.390	43.462229950	1.272889989	0.242105	125	0.242188
94.405	16:59:21.640	43.462229950	1.272889989	0.242105	125	0.242188
94.655	16:59:21.890	43.462229950	1.272889989	0.242105	125	0.242188
94.905	16:59:22.140	43.462229950	1.272889989	0.242105	125	0.242188
95.155	16:59:22.390	43.462229950	1.272889989	0.242105	125	0.242188
95.405	16:59:22.640	43.462229950	1.272889989	0.242105	125	0.242188
95.655	16:59:22.890	43.462229950	1.272889989	0.242105	125	0.242188
95.905	16:59:23.140	43.462229950	1.272889989	0.242105	125	0.242188
96.155	16:59:23.390	43.462229950	1.272889989	0.242105	125	0.242188
96.405	16:59:23.640	43.462229950	1.272889989	0.242105	125	0.242188
96.655	16:59:23.890	43.462229950	1.272889989	0.247368	125	0.242188
96.905	16:59:24.140	43.462229950	1.272889989	0.242105	125	0.238281
97.155	16:59:24.390	43.462229950	1.272889989	0.244737	124	0.238281
97.405	16:59:24.640	43.462229950	1.272889989	0.244737	124	0.242188
97.655	16:59:24.890	43.462229950	1.272889989	0.242105	124	0.242188
97.905	16:59:25.140	43.462229950	1.272889989	0.244737	124	0.242188
98.155	16:59:25.390	43.462229950	1.272889989	0.244737	124	0.238281
98.405	16:59:25.640	43.462229950	1.272889989	0.244737	124	0.242188
98.655	16:59:25.890	43.462229950	1.272889989	0.244737	124	0.242188
98.905	16:59:26.140	43.462229950	1.272889989	0.244737	124	0.242188
99.155	16:59:26.390	43.462229950	1.272889989	0.244737	124	0.238281
99.405	16:59:26.640	43.462229950	1.272889989	0.244737	124	0.242188
99.655	16:59:26.890	43.462229950	1.272889989	0.244737	124	0.238281
99.905	16:59:27.140	43.462229950	1.272889989	0.244737	124	0.238281
100.155	16:59:27.390	43.462229950	1.272889989	0.244737	124	0.242188
100.405	16:59:27.640	43.462229950	1.272889989	0.244737	124	0.238281
100.655	16:59:27.890	43.462229950	1.272889989	0.244737	124	0.242188
100.905	16:59:28.140	43.462229950	1.272889989	0.244737	124	0.242188
101.155	16:59:28.390	43.462229950	1.272889989	0.244737	124	0.238281
101.405	16:59:28.640	43.462229950	1.272889989	0.244737	124	0.238281
101.655	16:59:28.890	43.462229950	1.272889989	0.244737	124	0.238281
101.905	16:59:29.140	43.462229950	1.272889989	0.244737	124	0.238281
102.155	16:59:29.390	43.462229950	1.272889989	0.244737	124	0.238281
102.405	16:59:29.640	43.462229950	1.272889989	0.244737	124	0.238281
102.655	16:59:29.890	43.462229950	1.272889989	0.244737	124	0.238281
102.905	16:59:30.140	43.462229950	1.272889989	0.325419	124	0.199219
103.155	16:59:30.390	43.462229950	1.272889989	0.2	120	0.464844
103.405	16:59:30.640	43.462229950	1.272889989	0.2	120	0.769531
103.655	16:59:30.890	43.462229950	1.272889989	0.207702	120	0.890625
103.905	16:59:31.140	43.462229950	1.272889989	0.265993	120	0.902344
104.155	16:59:31.390	43.462229950	1.272889989	0.300867	120	0.820312
104.405	16:59:31.640	43.462229950	1.272889989	0.272121	120	0.78125
104.655	16:59:31.890	43.462229950	1.272889989	0.273187	120	0.738281
104.905	16:59:32.140	43.462229950	1.272889989	0.282566	120	0.695312
105.155	16:59:32.390	43.462229950	1.272889989	0.284029	120	0.664062
105.405	16:59:32.640	43.462229950	1.272889989	0.273514	120	0.628906
105.655	16:59:32.890	43.462229950	1.272889989	0.276278	120	0.597656
105.905	16:59:33.140	43.462229950	1.272889989	0.288587	120	0.5625
106.155	16:59:33.390	43.462229950	1.272889989	0.281141	120	0.546875
106.405	16:59:33.640	43.462229950	1.272889989	0.27526	120	0.535156
106.655	16:59:33.890	43.462229950	1.272889989	0.269602	120	0.457031
106.905	16:59:34.140	43.462229950	1.272889989	0.269602	120	0.472656
107.155	16:59:34.390	43.462229950	1.272889989	0.278261	120	0.472656
107.405	16:59:34.640	43.462229950	1.272889989	0.280992	120	0.453125
107.655	16:59:34.890	43.462229950	1.272889989	0.290999	120	0.4375
107.905	16:59:35.140	43.462229950	1.272889989	0.290999	120	0.410156
108.155	16:59:35.390	43.462229950	1.272889989	0.282032	120	0.417969
108.405	16:59:35.640	43.462229950	1.272889989	0.285396	120	0.421875
108.655	16:59:35.890	43.462229950	1.272889989	0.286004	120	0.421875
108.905	16:59:36.140	43.462229950	1.272889989	0.286004	120	0.414062
