Time	UTC	GPS_lat(deg)	GPS_long(deg)	FINKEN_ACTUATORS_SET_POINT:thrust	ROTORCRAFT_STATUS:vsupply	FINKEN_SENSOR_MODEL:pos_z
102.498	10:20:32.533	43.462229950	1.272889989	0.391089	117	0.589844
102.748	10:20:32.783	43.462229950	1.272889989	0.393714	117	0.59375
102.998	10:20:33.033	43.462229950	1.272889989	0.398694	117	0.589844
103.248	10:20:33.283	43.462229950	1.272889989	0.386964	117	0.585938
103.498	10:20:33.533	43.462229950	1.272889989	0.410934	117	0.585938
103.748	10:20:33.783	43.462229950	1.272889989	0.40141	117	0.542969
103.998	10:20:34.033	43.462229950	1.272889989	0.373198	117	0.570312
104.248	10:20:34.283	43.462229950	1.272889989	0.395941	117	0.5625
104.498	10:20:34.533	43.462229950	1.272889989	0.388201	117	0.574219
104.748	10:20:34.783	43.462229950	1.272889989	0.392239	117	0.585938
104.998	10:20:35.033	43.462229950	1.272889989	0.391829	117	0.59375
105.248	10:20:35.283	43.462229950	1.272889989	0.390976	117	0.605469
105.498	10:20:35.533	43.462229950	1.272889989	0.396291	117	0.597656
105.748	10:20:35.783	43.462229950	1.272889989	0.396962	117	0.589844
105.998	10:20:36.033	43.462229950	1.272889989	0.395495	117	0.582031
