Time	UTC	GPS_lat(deg)	GPS_long(deg)	FINKEN_ACTUATORS_MODEL:thrust	FINKEN_ACTUATORS_SET_POINT:thrust	ROTORCRAFT_STATUS:vsupply	FINKEN_SENSOR_MODEL:pos_z
83.771	10:52:37.971	43.462229950	1.272889989	0.35	0.35	124	0.242188
84.021	10:52:38.221	43.462229950	1.272889989	0.35	0.35	124	0.242188
84.271	10:52:38.471	43.462229950	1.272889989	0.35	0.35	124	0.242188
84.521	10:52:38.721	43.462229950	1.272889989	0.35	0.35	124	0.242188
84.771	10:52:38.971	43.462229950	1.272889989	0.35	0.35	124	0.242188
85.021	10:52:39.221	43.462229950	1.272889989	0.35	0.35	124	0.238281
85.271	10:52:39.471	43.462229950	1.272889989	0.35	0.35	124	0.242188
85.521	10:52:39.721	43.462229950	1.272889989	0.35	0.35	124	0.242188
85.771	10:52:39.971	43.462229950	1.272889989	0.35	0.35	124	0.242188
86.021	10:52:40.221	43.462229950	1.272889989	0.35	0.35	124	0.242188
86.271	10:52:40.471	43.462229950	1.272889989	0.35	0.35	124	0.242188
86.521	10:52:40.721	43.462229950	1.272889989	0.35	0.35	124	0.242188
86.771	10:52:40.971	43.462229950	1.272889989	0.35	0.35	124	0.242188
87.021	10:52:41.221	43.462229950	1.272889989	0.35	0.35	124	0.242188
87.271	10:52:41.471	43.462229950	1.272889989	0.35	0.35	124	0.242188
87.521	10:52:41.721	43.462229950	1.272889989	0.35	0.35	124	0.242188
87.771	10:52:41.971	43.462229950	1.272889989	0.35	0.35	124	0.242188
88.021	10:52:42.221	43.462229950	1.272889989	0.35	0.35	124	0.242188
88.271	10:52:42.471	43.462229950	1.272889989	0.35	0.35	124	0.242188
88.521	10:52:42.721	43.462229950	1.272889989	0.35	0.35	124	0.242188
88.771	10:52:42.971	43.462229950	1.272889989	0.35	0.35	124	0.242188
89.021	10:52:43.221	43.462229950	1.272889989	0.35	0.35	124	0.242188
89.271	10:52:43.471	43.462229950	1.272889989	0.35	0.35	124	0.242188
89.521	10:52:43.721	43.462229950	1.272889989	0.35	0.35	124	0.242188
89.771	10:52:43.971	43.462229950	1.272889989	0.35	0.35	124	0.242188
90.021	10:52:44.221	43.462229950	1.272889989	0.35	0.35	124	0.242188
90.271	10:52:44.471	43.462229950	1.272889989	0.35	0.35	124	0.242188
90.521	10:52:44.721	43.462229950	1.272889989	0.35	0.35	124	0.242188
90.771	10:52:44.971	43.462229950	1.272889989	0.35	0.35	124	0.242188
91.021	10:52:45.221	43.462229950	1.272889989	0.35	0.35	124	0.242188
91.271	10:52:45.471	43.462229950	1.272889989	0.35	0.35	124	0.242188
91.521	10:52:45.721	43.462229950	1.272889989	0.35	0.35	124	0.242188
91.771	10:52:45.971	43.462229950	1.272889989	0.35	0.35	124	0.242188
92.021	10:52:46.221	43.462229950	1.272889989	0.35	0.35	124	0.242188
92.271	10:52:46.471	43.462229950	1.272889989	0.35	0.35	124	0.242188
92.521	10:52:46.721	43.462229950	1.272889989	0.35	0.35	124	0.242188
92.771	10:52:46.971	43.462229950	1.272889989	0.35	0.35	124	0.242188
93.021	10:52:47.221	43.462229950	1.272889989	0.35	0.35	124	0.242188
93.271	10:52:47.471	43.462229950	1.272889989	0.35	0.35	124	0.242188
93.521	10:52:47.721	43.462229950	1.272889989	0.35	0.35	124	0.242188
93.771	10:52:47.971	43.462229950	1.272889989	0.35	0.35	124	0.242188
94.021	10:52:48.221	43.462229950	1.272889989	0.35	0.35	124	0.242188
94.271	10:52:48.471	43.462229950	1.272889989	0.35	0.35	124	0.242188
94.521	10:52:48.721	43.462229950	1.272889989	0.35	0.35	124	0.242188
94.771	10:52:48.971	43.462229950	1.272889989	0.35	0.35	124	0.242188
95.021	10:52:49.221	43.462229950	1.272889989	0.35	0.35	124	0.242188
95.271	10:52:49.471	43.462229950	1.272889989	0.35	0.35	124	0.242188
95.521	10:52:49.721	43.462229950	1.272889989	0.35	0.35	124	0.242188
95.771	10:52:49.971	43.462229950	1.272889989	0.35	0.35	124	0.242188
96.021	10:52:50.221	43.462229950	1.272889989	0.35	0.35	124	0.242188
96.271	10:52:50.471	43.462229950	1.272889989	0.35	0.35	124	0.242188
96.521	10:52:50.721	43.462229950	1.272889989	0.35	0.35	124	0.242188
96.771	10:52:50.971	43.462229950	1.272889989	0.35	0.35	124	0.242188
97.021	10:52:51.221	43.462229950	1.272889989	0.35	0.35	124	0.242188
97.271	10:52:51.471	43.462229950	1.272889989	0.35	0.35	124	0.242188
97.521	10:52:51.721	43.462229950	1.272889989	0.35	0.35	124	0.242188
97.771	10:52:51.971	43.462229950	1.272889989	0.35	0.35	124	0.242188
